year,index,regressor,Coefficient,P-value,R-squared,Error
2018,RRRRR,T2M,-0.00024590566810994805,0.9187899091797072,0.00020581939314268105,0.014335640990935122
2018,RRRRS,T2M,0.0008708685128632476,0.3077988482311178,0.020384005685465167,0.0017788004841238034
2018,RRRSR,T2M,-0.00039597945663474453,0.4961835777681062,0.009127659872345872,0.0008307288520704306
2018,RRRSS,T2M,-6.285056616311339e-05,0.9530610123366896,6.860585957868537e-05,0.0028098498211924818
2018,RRSRR,T2M,4.023943853573857e-05,0.97798923247885,1.507247257315214e-05,0.005242862922433077
2018,RRSRS,T2M,0.0001999291408238093,0.7256076485769657,0.0024361694341117346,0.0007988056538729265
2018,RRSSR,T2M,0.00046277733867223266,0.10656779901556682,0.050260425051799396,0.00019750508111472716
2018,RRSSS,T2M,0.0021084646253812186,0.01060419494552585,0.12128626834104861,0.0015718972120065398
2018,RSRRR,T2M,5.9495456367852334e-05,0.738436918856838,0.00220547647264846,7.815594410495876e-05
2018,RSRRS,T2M,-5.762215136492089e-06,0.9194989279342023,0.00020222935379976548,8.011293344496875e-06
2018,RSRSR,T2M,2.6551437186423196e-05,0.5582301295940229,0.0067643290798287126,5.051953851737448e-06
2018,RSRSS,T2M,-0.00015117503397650626,0.20377492490230184,0.03147402148771328,3.4322183862856676e-05
2018,RSSRR,T2M,-8.610159888004579e-06,0.768849699782143,0.0017086578821392528,2.113880094855338e-06
2018,RSSRS,T2M,-2.5151290343801292e-05,0.689717859913455,0.003151118635886796,9.766542394959329e-06
2018,RSSSR,T2M,-2.287929695049341e-05,0.5061850629459455,0.0087127211850615,2.9066101988649276e-06
2018,RSSSS,T2M,-3.536295867813168e-05,0.8006739724259908,0.0012613901451815623,4.832315921946326e-05
2018,SRRRR,T2M,4.71673865930248e-05,0.5350710584127796,0.007589479743786431,1.4197723290391242e-05
2018,SRRRS,T2M,-2.1416275991935773e-05,0.9406502468639473,0.00010975475389762845,0.00020392601269870165
2018,SRRSR,T2M,6.572406537811503e-05,0.6532381299335658,0.003988686157385124,5.264279871798869e-05
2018,SRRSS,T2M,0.00025826002972417056,0.46960069315099306,0.01030074495375577,0.0003127553367317029
2018,SRSRR,T2M,0.0004649733507863824,0.159527981128317,0.038421320999092345,0.0002640732342054588
2018,SRSRS,T2M,0.00012521467319028586,0.6100401425217925,0.005137305787641933,0.00014818147178633284
2018,SRSSR,T2M,-0.00015346634500877318,0.25882614519229863,0.024930231079388854,4.4956388358051245e-05
2018,SRSSS,T2M,0.0014080577162327724,0.0027887928871961525,0.16222851152970585,0.0004996835276499025
2018,SSRRR,T2M,-0.00012119608239655722,0.6233059614853608,0.004765550132696195,0.000149708082539641
2018,SSRRS,T2M,0.0006234086645476698,0.07771896042636295,0.05975706347303511,0.00029843669829420036
2018,SSRSR,T2M,2.9038217925688815e-05,0.8114587285981376,0.001126111685570086,3.6502687642459234e-05
2018,SSRSS,T2M,6.661566439041748e-05,0.8249234269842327,0.000968531663530503,0.00022339518011806316
2018,SSSRR,T2M,7.31666729989943e-05,0.7272244326575883,0.0024063911192055976,0.00010831030615079602
2018,SSSRS,T2M,0.0007948117151134268,0.13776495877054126,0.0426776057263728,0.0006915799875053382
2018,SSSSR,T2M,-0.0007235672878884445,0.33274438200068757,0.018405292367370096,0.0013627088076083782
2018,SSSSS,T2M,-0.0057514414695445226,0.18991929674282193,0.03344976217620155,0.04664880610110698
2018,RRRRR,QV2M,-0.06448776486844207,0.5449281913595901,0.007230402801514879,0.014234918354409895
2018,RRRRS,QV2M,0.03128641058983743,0.8600002649046812,0.0006157744304295942,0.0018146959161408497
2018,RRRSR,QV2M,-0.05632729304465492,0.8764654406964139,0.00047837967434971596,0.000837980246946577
2018,RRRSS,QV2M,-0.8259858546222216,0.6275106963145122,0.004651310198450775,0.0027969722267468878
2018,RRSRR,QV2M,-2.377270858591279,0.6717203349805487,0.003549863541056353,0.005224330218067901
2018,RRSRS,QV2M,-0.5263837432095574,0.9186499705985305,0.00020653172682039145,0.0008005910506085542
2018,RRSSR,QV2M,2.8350936972059992,0.6417536174009466,0.004276860857396869,0.00020706768945044388
2018,RRSSS,QV2M,24.564034939293443,0.5517917215784666,0.00698731076665815,0.0017763622229347753
2018,RSRRR,QV2M,-8.740960463413803,0.6610801329465992,0.0037987890993969042,7.803114200426407e-05
2018,RSRRS,QV2M,4.930422444070563,0.7373076924975517,0.0022252705436377473,7.995082889847315e-06
2018,RSRSR,QV2M,10.274395658867082,0.7032353780361634,0.0028695492520963706,5.07176410274681e-06
2018,RSRSS,QV2M,-189.32932012860223,0.24532566128591723,0.02637142675790083,3.4503007298035235e-05
2018,RSSRR,QV2M,-33.00177988967468,0.7206426709282481,0.0025289005682774812,2.1121432324645453e-06
2018,RSSRS,QV2M,-166.0145987844415,0.7164564304547054,0.002608603051466485,9.771857645399212e-06
2018,RSSSR,QV2M,-499.0787226523803,0.38459440578102067,0.014857200378254443,2.8885936195429384e-06
2018,RSSSS,QV2M,-4742.221076656079,0.37703939943268494,0.01533242205684171,4.764234373006495e-05
2018,SRRRR,QV2M,8654.039258476092,0.19594624483746836,0.032570758185792026,1.3840333609890631e-05
2018,SRRRS,QV2M,18161.593932876334,0.7567575506332026,0.001897898444282231,0.00020356132365943343
2018,SRRSR,QV2M,33555.03995967413,0.6251536807090932,0.004715138480318348,5.260440308645027e-05
2018,SRRSS,QV2M,459692.20616968663,0.23177771775850117,0.02791611009501682,0.0003071886967364555
2018,SRSRR,QV2M,1235371.9964882662,0.13277793814237326,0.04375690645064967,0.00026260795077380424
2018,SRSRS,QV2M,526029.7386155857,0.7087503202197838,0.0027589834628173326,0.00014853571494423298
2018,SRSSR,QV2M,-1546594.3513108534,0.38988682313504064,0.014531986373052863,4.543580792592234e-05
2018,SRSSS,QV2M,15367918.56343694,0.3014594835676983,0.020919780216020256,0.00058396623041827
